dateUploaded,description,geo_status,hashtags,imgId,positionInStatus,searchTermUsed,url,user_id,user_name
Wed Jun 20 00:17:31 +0000 2018,RT @FOX29philly: Underwater video shows whale shark near St. Pete Beach https://t.co/lD73WoUhDr https://t.co/l5dSydOgRN,,[],1009209813383958529,1,Whale Shark,http://pbs.twimg.com/media/DgFu-m6W0AEJpO_.jpg,785231424664309760,Deplorable Rocky🎸 🇺🇸   A hot spark of divinity
Wed Jun 20 00:15:00 +0000 2018,Underwater video shows whale shark near St. Pete Beach https://t.co/lD73WoUhDr https://t.co/l5dSydOgRN,,[],1009209813383958529,1,Whale Shark,http://pbs.twimg.com/media/DgFu-m6W0AEJpO_.jpg,14787713,FOX 29
Wed Jun 20 00:14:45 +0000 2018,RT @welcomet0nature: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/DyPb2dwzcf,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,930226625580601344,Lindsay Ward ♎️
Wed Jun 20 00:11:45 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,766087955584782336,Yurima Santos
Wed Jun 20 00:10:01 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,783677214940401664,The Pink Pig
Wed Jun 20 00:06:27 +0000 2018,RT @welcomet0nature: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/DyPb2dwzcf,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,924829876296626176,yura
Wed Jun 20 00:05:46 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,1000379821,Alberto de Lucía
Wed Jun 20 00:02:53 +0000 2018,RT @anyuk29: UCC 2018 when Yoojin put flower crown on Hyunsik shark or whale? Lol https://t.co/SjLq6tRj0t,,[],1007995087253458949,1,Whale Shark,http://pbs.twimg.com/ext_tw_video_thumb/1007995087253458949/pu/img/uf5zzC8JuoLI6wdU.jpg,1257656809,임현식🐺Immanuel
Tue Jun 19 23:55:11 +0000 2018,RT @welcomet0nature: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/DyPb2dwzcf,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,585449610,Bellz Webster
Tue Jun 19 23:52:24 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,106590340,Angela Farias
Tue Jun 19 23:44:34 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,386294234,MaríaMasGuasare
Tue Jun 19 23:44:32 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238650171393,1,Whale Shark,http://pbs.twimg.com/media/DgFlXE9WkAEcqu2.jpg,867072487342968832,irumas amano
Tue Jun 19 23:44:32 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238633394177,2,Whale Shark,http://pbs.twimg.com/media/DgFlXE5WkAE_W9e.jpg,867072487342968832,irumas amano
Tue Jun 19 23:44:32 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238675402752,3,Whale Shark,http://pbs.twimg.com/media/DgFlXFDXkAAVZVB.jpg,867072487342968832,irumas amano
Tue Jun 19 23:44:32 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238696325120,4,Whale Shark,http://pbs.twimg.com/media/DgFlXFIW0AACf7O.jpg,867072487342968832,irumas amano
Tue Jun 19 23:38:54 +0000 2018,RT @imagesl12: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/adRcrqW2gm,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,279715685,carlos arturo muñoz
Tue Jun 19 23:28:37 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,4810360658,Bettybheart
Tue Jun 19 23:26:57 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,885708677935529984,Tx Girl 19
Tue Jun 19 23:21:32 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,748075774893162496,Dave Burton
Tue Jun 19 23:21:26 +0000 2018,RT @rilakkuma_gyr: おさんぽ？ https://t.co/0ZjYJ8U0VD,,[],1009208713045893120,1,Whale Shark,http://pbs.twimg.com/media/DgFt-j1UYAAj-i2.jpg,912342686408966144,🌼🌼🌼
Tue Jun 19 23:19:55 +0000 2018,RT @zooanimalspics: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/Hbbr8Qz75E,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,882234701485756417,ヨリ
Tue Jun 19 23:16:41 +0000 2018,RT @welcomet0nature: Close encounter with a beautiful Whale Shark La Paz Baja California Sur https://t.co/DyPb2dwzcf,,[],1008174773426323456,1,Whale Shark,http://pbs.twimg.com/media/Df3BnWmWAAAfHgb.jpg,3366082289,Dr. Tweet
Tue Jun 19 23:15:24 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238650171393,1,Whale Shark,http://pbs.twimg.com/media/DgFlXE9WkAEcqu2.jpg,42873277,24時間 Ghosterella
Tue Jun 19 23:15:24 +0000 2018,RT @jonblissart: @DuckDraw Whale shark! https://t.co/vbRCiC9wsK,,[],1009199238633394177,2,Whale Shark,http://pbs.twimg.com/media/DgFlXE5WkAE_W9e.jpg,42873277,24時間 Ghosterella
